Team,is_home,score_for,score_against,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,match_url,season
North Melbourne,0,73,72,678.0,291.0,447.0,1125.0,32.0,26.0,105.0,173.0,118.0,145.0,120.0,203.0,80.0,91.0,10.0,424.0,711.0,16.0,24.0,134.0,13.0,22.0,1798.0,https://afltables.com/afl/stats/games/2023/081220230325.html,2023
Sydney,1,118,37,656.0,287.0,438.0,1094.0,38.0,45.0,78.0,169.0,117.0,158.0,91.0,156.0,57.0,53.0,12.0,405.0,677.0,31.0,45.0,113.0,19.0,31.0,1807.0,https://afltables.com/afl/stats/games/2023/101620230326.html,2023
Hawthorn,0,37,118,637.0,271.0,435.0,1072.0,25.0,42.0,90.0,170.0,120.0,142.0,98.0,162.0,54.0,55.0,6.0,390.0,670.0,23.0,36.0,121.0,17.0,20.0,1800.0,https://afltables.com/afl/stats/games/2023/101620230326.html,2023
Essendon,1,108,80,642.0,271.0,423.0,1065.0,43.0,38.0,115.0,180.0,129.0,171.0,114.0,154.0,54.0,54.0,11.0,417.0,617.0,34.0,40.0,139.0,32.0,28.0,1798.0,https://afltables.com/afl/stats/games/2023/052020230326.html,2023
Gold Coast,0,80,108,645.0,272.0,384.0,1029.0,38.0,40.0,116.0,162.0,126.0,171.0,120.0,146.0,54.0,54.0,7.0,414.0,580.0,35.0,41.0,137.0,22.0,26.0,1802.0,https://afltables.com/afl/stats/games/2023/052020230326.html,2023
West Coast,1,100,81,621.0,247.0,477.0,1098.0,39.0,47.0,110.0,133.0,121.0,168.0,107.0,177.0,58.0,59.0,12.0,369.0,677.0,24.0,44.0,131.0,35.0,27.0,1799.0,https://afltables.com/afl/stats/games/2023/182120230326.html,2023
Greater Western Sydney,0,81,100,594.0,242.0,483.0,1077.0,36.0,46.0,121.0,137.0,125.0,162.0,103.0,180.0,59.0,58.0,6.0,363.0,661.0,27.0,43.0,133.0,34.0,24.0,1798.0,https://afltables.com/afl/stats/games/2023/182120230326.html,2023
Western Bulldogs,1,67,53,678.0,295.0,428.0,1106.0,27.0,25.0,114.0,166.0,120.0,150.0,110.0,202.0,70.0,74.0,11.0,435.0,665.0,35.0,31.0,158.0,10.0,17.0,1800.0,https://afltables.com/afl/stats/games/2023/071920230330.html,2023
Brisbane Lions,0,53,67,663.0,293.0,394.0,1057.0,24.0,29.0,123.0,161.0,120.0,147.0,106.0,197.0,74.0,70.0,7.0,417.0,631.0,40.0,32.0,163.0,5.0,13.0,1801.0,https://afltables.com/afl/stats/games/2023/071920230330.html,2023
Collingwood,1,63,49,677.0,206.0,479.0,1156.0,23.0,37.0,110.0,184.0,116.0,158.0,116.0,212.0,67.0,74.0,12.0,461.0,638.0,25.0,29.0,203.0,9.0,21.0,1799.0,https://afltables.com/afl/stats/games/2023/041420230331.html,2023
Richmond,0,49,63,667.0,217.0,445.0,1112.0,22.0,29.0,127.0,185.0,133.0,139.0,121.0,199.0,74.0,67.0,6.0,439.0,616.0,23.0,28.0,181.0,6.0,18.0,1801.0,https://afltables.com/afl/stats/games/2023/041420230331.html,2023
Hawthorn,1,80,61,751.0,369.0,439.0,1190.0,31.0,35.0,96.0,155.0,112.0,156.0,110.0,191.0,57.0,54.0,12.0,404.0,788.0,27.0,39.0,137.0,22.0,22.0,1802.0,https://afltables.com/afl/stats/games/2023/101220230401.html,2023
North Melbourne,0,61,80,677.0,318.0,431.0,1108.0,29.0,28.0,96.0,148.0,122.0,144.0,91.0,181.0,54.0,57.0,6.0,385.0,706.0,30.0,36.0,124.0,23.0,20.0,1798.0,https://afltables.com/afl/stats/games/2023/101220230401.html,2023
Greater Western Sydney,1,64,74,661.0,271.0,496.0,1157.0,27.0,40.0,80.0,145.0,147.0,169.0,104.0,188.0,53.0,52.0,7.0,391.0,721.0,30.0,32.0,164.0,19.0,17.0,1799.0,https://afltables.com/afl/stats/games/2023/032120230401.html,2023
Carlton,0,74,64,683.0,281.0,491.0,1174.0,27.0,50.0,109.0,131.0,138.0,176.0,109.0,178.0,52.0,53.0,11.0,416.0,719.0,36.0,31.0,163.0,14.0,16.0,1799.0,https://afltables.com/afl/stats/games/2023/032120230401.html,2023
St Kilda,1,92,74,734.0,365.0,494.0,1228.0,39.0,24.0,96.0,155.0,112.0,152.0,100.0,185.0,58.0,56.0,12.0,414.0,782.0,41.0,25.0,138.0,18.0,30.0,1801.0,https://afltables.com/afl/stats/games/2023/051520230401.html,2023
Essendon,0,74,92,742.0,373.0,502.0,1244.0,36.0,24.0,96.0,163.0,113.0,148.0,113.0,181.0,56.0,58.0,6.0,411.0,805.0,37.0,20.0,129.0,21.0,27.0,1799.0,https://afltables.com/afl/stats/games/2023/051520230401.html,2023
Port Adelaide,1,86,117,588.0,214.0,338.0,926.0,44.0,25.0,121.0,211.0,116.0,157.0,135.0,178.0,80.0,73.0,6.0,394.0,505.0,25.0,31.0,151.0,5.0,33.0,1798.0,https://afltables.com/afl/stats/games/2023/011320230401.html,2023
Adelaide,0,117,86,612.0,239.0,349.0,961.0,49.0,26.0,128.0,194.0,112.0,167.0,126.0,179.0,73.0,80.0,12.0,416.0,527.0,26.0,35.0,149.0,4.0,36.0,1800.0,https://afltables.com/afl/stats/games/2023/011320230401.html,2023
Gold Coast,1,73,54,640.0,280.0,397.0,1037.0,27.0,38.0,103.0,161.0,129.0,150.0,101.0,211.0,44.0,43.0,12.0,411.0,601.0,44.0,40.0,131.0,21.0,19.0,1799.0,https://afltables.com/afl/stats/games/2023/092020230402.html,2023
Geelong,0,54,73,650.0,311.0,389.0,1039.0,24.0,37.0,92.0,163.0,123.0,153.0,85.0,209.0,43.0,44.0,6.0,387.0,629.0,43.0,44.0,115.0,24.0,17.0,1800.0,https://afltables.com/afl/stats/games/2023/092020230402.html,2023
Melbourne,1,134,84,616.0,278.0,435.0,1051.0,54.0,28.0,80.0,139.0,116.0,172.0,100.0,157.0,52.0,50.0,12.0,389.0,652.0,29.0,36.0,123.0,8.0,36.0,1801.0,https://afltables.com/afl/stats/games/2023/111620230402.html,2023
Sydney,0,84,134,590.0,280.0,423.0,1013.0,45.0,32.0,73.0,137.0,115.0,164.0,98.0,167.0,50.0,52.0,6.0,355.0,644.0,25.0,36.0,129.0,13.0,30.0,1801.0,https://afltables.com/afl/stats/games/2023/111620230402.html,2023
Fremantle,1,108,67,599.0,244.0,502.0,1101.0,41.0,37.0,154.0,186.0,135.0,180.0,114.0,158.0,57.0,59.0,10.0,402.0,687.0,28.0,43.0,129.0,14.0,37.0,1799.0,https://afltables.com/afl/stats/games/2023/081820230402.html,2023
West Coast,0,67,108,619.0,248.0,497.0,1116.0,34.0,38.0,101.0,177.0,138.0,171.0,108.0,154.0,60.0,55.0,8.0,414.0,696.0,29.0,38.0,120.0,13.0,32.0,1803.0,https://afltables.com/afl/stats/games/2023/081820230402.html,2023
Brisbane Lions,1,116,83,627.0,260.0,428.0,1055.0,47.0,33.0,117.0,151.0,123.0,165.0,129.0,199.0,60.0,61.0,12.0,410.0,612.0,24.0,42.0,139.0,8.0,29.0,1801.0,https://afltables.com/afl/stats/games/2023/041920230406.html,2023
Collingwood,0,83,116,609.0,259.0,469.0,1078.0,40.0,42.0,93.0,173.0,114.0,168.0,120.0,185.0,63.0,56.0,6.0,409.0,654.0,27.0,36.0,140.0,16.0,22.0,1798.0,https://afltables.com/afl/stats/games/2023/041920230406.html,2023
North Melbourne,1,84,107,645.0,265.0,519.0,1164.0,38.0,47.0,100.0,140.0,114.0,160.0,112.0,182.0,61.0,62.0,6.0,400.0,738.0,26.0,30.0,152.0,15.0,24.0,1801.0,https://afltables.com/afl/stats/games/2023/031220230407.html,2023
Carlton,0,107,84,681.0,308.0,471.0,1152.0,43.0,40.0,104.0,148.0,120.0,158.0,101.0,181.0,62.0,61.0,12.0,398.0,729.0,34.0,33.0,148.0,9.0,24.0,1801.0,https://afltables.com/afl/stats/games/2023/031220230407.html,2023
Adelaide,1,111,72,623.0,235.0,471.0,1094.0,44.0,30.0,114.0,177.0,115.0,153.0,114.0,176.0,72.0,77.0,11.0,439.0,637.0,33.0,30.0,158.0,10.0,29.0,1799.0,https://afltables.com/afl/stats/games/2023/010820230408.html,2023
Fremantle,0,72,111,580.0,209.0,468.0,1048.0,37.0,33.0,126.0,189.0,107.0,153.0,123.0,163.0,78.0,70.0,7.0,425.0,602.0,33.0,24.0,157.0,11.0,22.0,1801.0,https://afltables.com/afl/stats/games/2023/010820230408.html,2023
Richmond,1,84,89,675.0,237.0,473.0,1148.0,36.0,41.0,120.0,226.0,137.0,158.0,94.0,217.0,54.0,57.0,8.0,430.0,674.0,22.0,25.0,201.0,6.0,21.0,1801.0,https://afltables.com/afl/stats/games/2023/071420230408.html,2023
Western Bulldogs,0,89,84,696.0,258.0,424.0,1120.0,36.0,46.0,105.0,212.0,121.0,175.0,110.0,203.0,57.0,54.0,10.0,425.0,652.0,20.0,26.0,210.0,9.0,18.0,1797.0,https://afltables.com/afl/stats/games/2023/071420230408.html,2023
Sydney,1,64,66,609.0,212.0,419.0,1028.0,27.0,32.0,95.0,199.0,127.0,179.0,113.0,169.0,87.0,78.0,11.0,427.0,576.0,32.0,27.0,132.0,24.0,17.0,1800.0,https://afltables.com/afl/stats/games/2023/131620230408.html,2023
Port Adelaide,0,66,64,600.0,205.0,418.0,1018.0,27.0,34.0,88.0,194.0,146.0,157.0,118.0,185.0,78.0,87.0,7.0,437.0,564.0,37.0,27.0,135.0,27.0,16.0,1802.0,https://afltables.com/afl/stats/games/2023/131620230408.html,2023
St Kilda,1,113,60,754.0,305.0,527.0,1281.0,42.0,34.0,120.0,195.0,132.0,179.0,115.0,199.0,55.0,56.0,12.0,495.0,765.0,44.0,33.0,171.0,32.0,30.0,1801.0,https://afltables.com/afl/stats/games/2023/152020230408.html,2023
Gold Coast,0,60,113,710.0,259.0,451.0,1161.0,33.0,35.0,129.0,210.0,135.0,166.0,125.0,206.0,56.0,55.0,6.0,492.0,657.0,40.0,21.0,177.0,19.0,21.0,1801.0,https://afltables.com/afl/stats/games/2023/152020230408.html,2023
Essendon,1,88,75,681.0,283.0,474.0,1155.0,33.0,53.0,107.0,156.0,125.0,172.0,102.0,140.0,28.0,23.0,11.0,425.0,709.0,39.0,35.0,190.0,25.0,29.0,1801.0,https://afltables.com/afl/stats/games/2023/052120230409.html,2023
Greater Western Sydney,0,75,88,693.0,308.0,474.0,1167.0,33.0,40.0,91.0,147.0,136.0,161.0,102.0,154.0,23.0,28.0,7.0,406.0,725.0,36.0,37.0,182.0,23.0,28.0,1801.0,https://afltables.com/afl/stats/games/2023/052120230409.html,2023
West Coast,1,63,126,588.0,245.0,499.0,1087.0,37.0,30.0,100.0,215.0,104.0,134.0,99.0,183.0,54.0,60.0,7.0,417.0,669.0,16.0,32.0,127.0,15.0,32.0,1800.0,https://afltables.com/afl/stats/games/2023/111820230409.html,2023
Melbourne,0,126,63,639.0,265.0,527.0,1166.0,47.0,33.0,122.0,226.0,94.0,154.0,105.0,177.0,60.0,54.0,11.0,438.0,720.0,20.0,40.0,137.0,15.0,43.0,1798.0,https://afltables.com/afl/stats/games/2023/111820230409.html,2023
Geelong,1,127,45,685.0,301.0,409.0,1094.0,44.0,35.0,108.0,179.0,106.0,162.0,105.0,183.0,70.0,62.0,12.0,382.0,676.0,14.0,44.0,136.0,8.0,31.0,1799.0,https://afltables.com/afl/stats/games/2023/091020230410.html,2023
Hawthorn,0,45,127,629.0,254.0,386.0,1015.0,31.0,31.0,111.0,181.0,116.0,138.0,105.0,186.0,62.0,70.0,6.0,374.0,608.0,16.0,34.0,110.0,4.0,23.0,1800.0,https://afltables.com/afl/stats/games/2023/091020230410.html,2023
Adelaide,1,118,62,667.0,303.0,449.0,1116.0,45.0,28.0,139.0,189.0,118.0,155.0,116.0,164.0,66.0,66.0,12.0,442.0,661.0,52.0,47.0,151.0,9.0,36.0,1799.0,https://afltables.com/afl/stats/games/2023/010320230413.html,2023
Carlton,0,62,118,608.0,258.0,430.0,1038.0,36.0,26.0,113.0,207.0,107.0,157.0,121.0,157.0,66.0,66.0,6.0,416.0,602.0,47.0,34.0,146.0,9.0,27.0,1801.0,https://afltables.com/afl/stats/games/2023/010320230413.html,2023
Fremantle,1,100,90,601.0,250.0,363.0,964.0,43.0,32.0,140.0,172.0,95.0,141.0,123.0,122.0,41.0,43.0,9.0,360.0,584.0,51.0,48.0,119.0,9.0,35.0,1801.0,https://afltables.com/afl/stats/games/2023/082020230414.html,2023
Gold Coast,0,90,100,614.0,269.0,300.0,914.0,41.0,34.0,106.0,179.0,94.0,138.0,111.0,121.0,43.0,41.0,9.0,363.0,529.0,51.0,45.0,121.0,12.0,31.0,1799.0,https://afltables.com/afl/stats/games/2023/082020230414.html,2023
Richmond,1,78,122,672.0,258.0,457.0,1129.0,40.0,38.0,97.0,149.0,135.0,176.0,114.0,212.0,47.0,47.0,7.0,426.0,679.0,32.0,34.0,157.0,18.0,24.0,1800.0,https://afltables.com/afl/stats/games/2023/141620230414.html,2023
Sydney,0,122,78,693.0,261.0,422.0,1115.0,47.0,40.0,98.0,154.0,132.0,184.0,120.0,196.0,49.0,46.0,11.0,435.0,653.0,31.0,32.0,149.0,27.0,30.0,1799.0,https://afltables.com/afl/stats/games/2023/141620230414.html,2023
Brisbane Lions,1,152,77,671.0,313.0,429.0,1100.0,56.0,45.0,98.0,122.0,98.0,174.0,108.0,171.0,56.0,49.0,12.0,401.0,695.0,42.0,75.0,108.0,10.0,48.0,1800.0,https://afltables.com/afl/stats/games/2023/121920230415.html,2023
North Melbourne,0,77,152,604.0,272.0,459.0,1063.0,46.0,30.0,106.0,121.0,112.0,150.0,105.0,183.0,49.0,56.0,6.0,379.0,664.0,33.0,51.0,105.0,14.0,36.0,1800.0,https://afltables.com/afl/stats/games/2023/121920230415.html,2023
Essendon,1,104,77,656.0,249.0,469.0,1125.0,41.0,39.0,109.0,197.0,127.0,169.0,109.0,173.0,61.0,65.0,11.0,466.0,637.0,29.0,39.0,158.0,11.0,24.0,1798.0,https://afltables.com/afl/stats/games/2023/051120230415.html,2023
Melbourne,0,77,104,637.0,231.0,473.0,1110.0,37.0,36.0,101.0,181.0,125.0,167.0,119.0,175.0,65.0,61.0,7.0,461.0,632.0,25.0,33.0,142.0,16.0,21.0,1799.0,https://afltables.com/afl/stats/games/2023/051120230415.html,2023
Port Adelaide,1,70,56,638.0,210.0,361.0,999.0,28.0,28.0,117.0,208.0,128.0,165.0,118.0,201.0,70.0,71.0,9.0,448.0,539.0,23.0,24.0,200.0,4.0,14.0,1799.0,https://afltables.com/afl/stats/games/2023/071320230415.html,2023
Western Bulldogs,0,56,70,625.0,210.0,404.0,1029.0,26.0,26.0,123.0,191.0,133.0,159.0,119.0,195.0,71.0,70.0,9.0,440.0,580.0,22.0,24.0,190.0,2.0,16.0,1798.0,https://afltables.com/afl/stats/games/2023/071320230415.html,2023
Geelong,1,136,89,595.0,261.0,444.0,1039.0,55.0,31.0,155.0,195.0,111.0,174.0,133.0,188.0,50.0,58.0,12.0,387.0,604.0,27.0,61.0,112.0,18.0,46.0,1799.0,https://afltables.com/afl/stats/games/2023/091820230416.html,2023
West Coast,0,89,136,560.0,237.0,444.0,1004.0,47.0,32.0,124.0,195.0,117.0,159.0,113.0,184.0,58.0,50.0,6.0,378.0,587.0,27.0,50.0,101.0,18.0,38.0,1800.0,https://afltables.com/afl/stats/games/2023/091820230416.html,2023
Greater Western Sydney,1,77,75,627.0,263.0,528.0,1155.0,31.0,43.0,121.0,222.0,125.0,157.0,102.0,189.0,52.0,53.0,9.0,437.0,686.0,41.0,34.0,161.0,7.0,23.0,1803.0,https://afltables.com/afl/stats/games/2023/102120230416.html,2023
Hawthorn,0,75,77,615.0,235.0,531.0,1146.0,32.0,35.0,131.0,207.0,124.0,158.0,111.0,195.0,53.0,52.0,9.0,448.0,670.0,40.0,32.0,148.0,8.0,25.0,1801.0,https://afltables.com/afl/stats/games/2023/102120230416.html,2023
Collingwood,1,70,64,680.0,301.0,512.0,1192.0,29.0,30.0,99.0,165.0,132.0,178.0,99.0,159.0,40.0,35.0,11.0,399.0,768.0,37.0,28.0,155.0,12.0,27.0,1799.0,https://afltables.com/afl/stats/games/2023/041520230416.html,2023
St Kilda,0,64,70,682.0,305.0,526.0,1208.0,28.0,30.0,105.0,150.0,144.0,164.0,105.0,171.0,35.0,40.0,7.0,420.0,768.0,41.0,26.0,139.0,9.0,24.0,1799.0,https://afltables.com/afl/stats/games/2023/041520230416.html,2023
Fremantle,1,69,118,579.0,233.0,468.0,1047.0,37.0,34.0,166.0,172.0,118.0,148.0,127.0,127.0,48.0,51.0,6.0,412.0,629.0,38.0,32.0,151.0,18.0,23.0,1798.0,https://afltables.com/afl/stats/games/2023/070820230421.html,2023
Western Bulldogs,0,118,69,600.0,238.0,483.0,1083.0,44.0,41.0,146.0,173.0,110.0,164.0,128.0,125.0,51.0,48.0,12.0,437.0,649.0,40.0,40.0,158.0,24.0,25.0,1799.0,https://afltables.com/afl/stats/games/2023/070820230421.html,2023
Port Adelaide,1,109,69,602.0,251.0,462.0,1064.0,42.0,35.0,122.0,200.0,114.0,166.0,124.0,172.0,65.0,67.0,11.0,396.0,642.0,32.0,39.0,128.0,4.0,29.0,1798.0,https://afltables.com/afl/stats/games/2023/131820230422.html,2023
West Coast,0,69,109,595.0,259.0,507.0,1102.0,36.0,31.0,124.0,196.0,120.0,155.0,125.0,158.0,67.0,65.0,7.0,393.0,681.0,34.0,36.0,115.0,8.0,19.0,1799.0,https://afltables.com/afl/stats/games/2023/131820230422.html,2023
Greater Western Sydney,1,87,108,648.0,242.0,497.0,1145.0,42.0,30.0,129.0,163.0,124.0,161.0,109.0,150.0,37.0,44.0,6.0,463.0,678.0,33.0,39.0,133.0,10.0,29.0,1800.0,https://afltables.com/afl/stats/games/2023/192120230422.html,2023
Brisbane Lions,0,108,87,636.0,247.0,412.0,1048.0,45.0,33.0,126.0,155.0,119.0,169.0,116.0,135.0,44.0,37.0,12.0,455.0,585.0,39.0,42.0,128.0,8.0,28.0,1798.0,https://afltables.com/afl/stats/games/2023/192120230422.html,2023
Geelong,1,130,37,605.0,258.0,399.0,1004.0,45.0,27.0,90.0,190.0,102.0,146.0,107.0,186.0,70.0,65.0,12.0,397.0,591.0,35.0,49.0,121.0,10.0,36.0,1799.0,https://afltables.com/afl/stats/games/2023/091620230422.html,2023
Sydney,0,37,130,580.0,243.0,348.0,928.0,30.0,24.0,99.0,203.0,102.0,133.0,106.0,201.0,65.0,70.0,6.0,377.0,543.0,28.0,32.0,140.0,8.0,21.0,1799.0,https://afltables.com/afl/stats/games/2023/091620230422.html,2023
Hawthorn,1,76,79,575.0,235.0,484.0,1059.0,33.0,33.0,149.0,251.0,118.0,147.0,123.0,171.0,58.0,59.0,8.0,413.0,630.0,23.0,28.0,127.0,15.0,26.0,1800.0,https://afltables.com/afl/stats/games/2023/011020230423.html,2023
Adelaide,0,79,76,595.0,236.0,467.0,1062.0,33.0,36.0,142.0,238.0,110.0,153.0,132.0,180.0,59.0,58.0,10.0,424.0,624.0,22.0,35.0,128.0,12.0,25.0,1798.0,https://afltables.com/afl/stats/games/2023/011020230423.html,2023
Carlton,1,60,82,732.0,381.0,520.0,1252.0,28.0,34.0,102.0,140.0,131.0,160.0,94.0,170.0,54.0,48.0,9.0,400.0,839.0,36.0,30.0,131.0,2.0,16.0,1799.0,https://afltables.com/afl/stats/games/2023/031520230423.html,2023
St Kilda,0,82,60,696.0,342.0,470.0,1166.0,32.0,32.0,96.0,139.0,130.0,164.0,95.0,163.0,48.0,54.0,9.0,380.0,766.0,30.0,33.0,124.0,4.0,20.0,1800.0,https://afltables.com/afl/stats/games/2023/031520230423.html,2023
Gold Coast,1,97,54,700.0,339.0,346.0,1046.0,35.0,38.0,88.0,152.0,120.0,152.0,99.0,160.0,50.0,49.0,12.0,394.0,643.0,33.0,46.0,109.0,6.0,25.0,1799.0,https://afltables.com/afl/stats/games/2023/122020230423.html,2023
North Melbourne,0,54,97,632.0,273.0,350.0,982.0,28.0,37.0,95.0,148.0,114.0,151.0,96.0,161.0,49.0,50.0,6.0,389.0,572.0,30.0,32.0,116.0,9.0,20.0,1802.0,https://afltables.com/afl/stats/games/2023/122020230423.html,2023
Melbourne,1,96,78,643.0,287.0,468.0,1111.0,41.0,24.0,85.0,133.0,133.0,167.0,99.0,226.0,73.0,77.0,11.0,414.0,702.0,44.0,37.0,132.0,9.0,23.0,1800.0,https://afltables.com/afl/stats/games/2023/111420230424.html,2023
Richmond,0,78,96,641.0,265.0,438.0,1079.0,37.0,30.0,77.0,143.0,122.0,175.0,93.0,227.0,77.0,73.0,7.0,423.0,657.0,34.0,35.0,153.0,12.0,22.0,1802.0,https://afltables.com/afl/stats/games/2023/111420230424.html,2023
Collingwood,1,90,77,626.0,289.0,486.0,1112.0,37.0,35.0,108.0,144.0,118.0,173.0,107.0,152.0,39.0,48.0,12.0,405.0,708.0,28.0,33.0,141.0,23.0,28.0,1803.0,https://afltables.com/afl/stats/games/2023/040520230425.html,2023
Essendon,0,77,90,577.0,248.0,468.0,1045.0,35.0,34.0,129.0,156.0,134.0,154.0,106.0,136.0,48.0,39.0,6.0,384.0,645.0,29.0,27.0,132.0,19.0,26.0,1801.0,https://afltables.com/afl/stats/games/2023/040520230425.html,2023
St Kilda,1,76,83,678.0,268.0,458.0,1136.0,34.0,31.0,101.0,216.0,116.0,157.0,106.0,200.0,70.0,56.0,9.0,461.0,678.0,21.0,29.0,159.0,14.0,26.0,1798.0,https://afltables.com/afl/stats/games/2023/131520230428.html,2023
Port Adelaide,0,83,76,642.0,251.0,454.0,1096.0,35.0,32.0,88.0,231.0,121.0,152.0,101.0,211.0,56.0,70.0,9.0,460.0,657.0,18.0,31.0,168.0,7.0,25.0,1802.0,https://afltables.com/afl/stats/games/2023/131520230428.html,2023
Brisbane Lions,1,115,67,667.0,302.0,460.0,1127.0,44.0,33.0,108.0,173.0,108.0,166.0,120.0,198.0,44.0,49.0,12.0,450.0,674.0,28.0,39.0,141.0,12.0,29.0,1801.0,https://afltables.com/afl/stats/games/2023/081920230429.html,2023
Fremantle,0,67,115,614.0,268.0,521.0,1135.0,37.0,27.0,123.0,172.0,120.0,146.0,102.0,195.0,49.0,44.0,6.0,429.0,700.0,32.0,30.0,141.0,21.0,25.0,1801.0,https://afltables.com/afl/stats/games/2023/081920230429.html,2023
Sydney,1,106,107,653.0,230.0,438.0,1091.0,49.0,25.0,134.0,192.0,107.0,174.0,127.0,194.0,57.0,54.0,7.0,457.0,616.0,36.0,31.0,180.0,6.0,33.0,1801.0,https://afltables.com/afl/stats/games/2023/162120230429.html,2023
Greater Western Sydney,0,107,106,652.0,238.0,471.0,1123.0,50.0,20.0,118.0,213.0,124.0,159.0,119.0,196.0,54.0,57.0,11.0,434.0,659.0,30.0,26.0,183.0,6.0,36.0,1802.0,https://afltables.com/afl/stats/games/2023/162120230429.html,2023
Western Bulldogs,1,94,65,627.0,297.0,494.0,1121.0,37.0,31.0,126.0,172.0,116.0,163.0,110.0,154.0,49.0,41.0,11.0,378.0,737.0,18.0,38.0,118.0,31.0,29.0,1800.0,https://afltables.com/afl/stats/games/2023/071020230429.html,2023
Hawthorn,0,65,94,642.0,303.0,511.0,1153.0,32.0,32.0,141.0,167.0,124.0,152.0,112.0,173.0,41.0,49.0,7.0,396.0,739.0,21.0,40.0,113.0,26.0,25.0,1800.0,https://afltables.com/afl/stats/games/2023/071020230429.html,2023
Melbourne,1,139,49,684.0,314.0,509.0,1193.0,51.0,21.0,121.0,152.0,128.0,179.0,114.0,164.0,56.0,55.0,12.0,415.0,775.0,37.0,41.0,161.0,13.0,33.0,1800.0,https://afltables.com/afl/stats/games/2023/111220230429.html,2023
North Melbourne,0,49,139,684.0,343.0,445.0,1129.0,36.0,21.0,98.0,145.0,127.0,166.0,111.0,166.0,55.0,56.0,6.0,383.0,743.0,32.0,34.0,157.0,20.0,24.0,1800.0,https://afltables.com/afl/stats/games/2023/111220230429.html,2023
West Coast,1,44,152,573.0,251.0,449.0,1022.0,35.0,30.0,118.0,211.0,94.0,124.0,119.0,126.0,46.0,43.0,6.0,368.0,625.0,18.0,37.0,120.0,18.0,31.0,1800.0,https://afltables.com/afl/stats/games/2023/031820230429.html,2023
Carlton,0,152,44,678.0,331.0,511.0,1189.0,52.0,36.0,134.0,230.0,89.0,146.0,124.0,120.0,44.0,44.0,12.0,391.0,773.0,30.0,62.0,129.0,18.0,44.0,1800.0,https://afltables.com/afl/stats/games/2023/031820230429.html,2023
Essendon,1,104,132,608.0,245.0,462.0,1070.0,52.0,28.0,132.0,147.0,116.0,158.0,122.0,169.0,52.0,50.0,7.0,431.0,652.0,18.0,43.0,147.0,14.0,42.0,1799.0,https://afltables.com/afl/stats/games/2023/050920230430.html,2023
Geelong,0,132,104,628.0,271.0,426.0,1054.0,56.0,32.0,120.0,138.0,103.0,175.0,130.0,158.0,50.0,52.0,11.0,442.0,629.0,27.0,50.0,141.0,13.0,48.0,1801.0,https://afltables.com/afl/stats/games/2023/050920230430.html,2023
Richmond,1,48,72,654.0,327.0,404.0,1058.0,23.0,30.0,100.0,156.0,128.0,159.0,126.0,172.0,50.0,52.0,7.0,380.0,672.0,25.0,31.0,136.0,33.0,13.0,1801.0,https://afltables.com/afl/stats/games/2023/142020230430.html,2023
Gold Coast,0,72,48,708.0,366.0,391.0,1099.0,28.0,24.0,113.0,174.0,133.0,159.0,123.0,173.0,52.0,50.0,11.0,370.0,714.0,23.0,29.0,125.0,30.0,14.0,1797.0,https://afltables.com/afl/stats/games/2023/142020230430.html,2023
Adelaide,1,58,59,664.0,282.0,425.0,1089.0,22.0,43.0,131.0,186.0,120.0,150.0,96.0,237.0,74.0,64.0,9.0,429.0,621.0,38.0,25.0,158.0,13.0,8.0,1800.0,https://afltables.com/afl/stats/games/2023/010420230430.html,2023
Collingwood,0,59,58,644.0,249.0,433.0,1077.0,23.0,38.0,106.0,204.0,126.0,144.0,117.0,258.0,64.0,74.0,9.0,429.0,609.0,25.0,23.0,169.0,17.0,7.0,1801.0,https://afltables.com/afl/stats/games/2023/010420230430.html,2023
Carlton,1,74,100,681.0,297.0,447.0,1128.0,37.0,26.0,139.0,217.0,98.0,141.0,127.0,203.0,66.0,67.0,6.0,440.0,709.0,35.0,28.0,156.0,8.0,28.0,1801.0,https://afltables.com/afl/stats/games/2023/031920230505.html,2023
Brisbane Lions,0,100,74,684.0,294.0,387.0,1071.0,41.0,28.0,116.0,221.0,103.0,141.0,128.0,196.0,69.0,65.0,12.0,415.0,659.0,31.0,32.0,159.0,4.0,29.0,1798.0,https://afltables.com/afl/stats/games/2023/031920230505.html,2023
Richmond,1,104,58,650.0,263.0,462.0,1112.0,38.0,38.0,132.0,173.0,114.0,173.0,119.0,195.0,50.0,49.0,12.0,436.0,676.0,34.0,39.0,165.0,27.0,30.0,1800.0,https://afltables.com/afl/stats/games/2023/141820230506.html,2023
West Coast,0,58,104,649.0,277.0,444.0,1093.0,31.0,34.0,111.0,169.0,126.0,151.0,127.0,192.0,49.0,50.0,6.0,413.0,674.0,32.0,33.0,150.0,24.0,21.0,1800.0,https://afltables.com/afl/stats/games/2023/141820230506.html,2023
Geelong,1,98,72,595.0,256.0,408.0,1003.0,39.0,34.0,149.0,204.0,107.0,152.0,121.0,144.0,61.0,62.0,9.0,419.0,564.0,45.0,37.0,124.0,6.0,27.0,1798.0,https://afltables.com/afl/stats/games/2023/010920230506.html,2023
