Team,is_home,score_for,score_against,KI,MK,HB,DI,GL,BH,HO,TK,RB,IF,CL,CG,FF,FA,BR,CP,UP,CM,MI,1%,BO,GA,%P,match_url,season
Collingwood,1,100,58,622.0,246.0,535.0,1157.0,38.0,30.0,93.0,175.0,123.0,159.0,94.0,191.0,78.0,62.0,10.0,414.0,712.0,8.0,26.0,139.0,24.0,26.0,1798.0,https://afltables.com/afl/stats/games/2022/010420220326.html,2022
Adelaide,0,58,100,641.0,276.0,521.0,1162.0,31.0,30.0,96.0,167.0,117.0,156.0,101.0,199.0,66.0,76.0,8.0,411.0,734.0,7.0,25.0,134.0,15.0,22.0,1800.0,https://afltables.com/afl/stats/games/2022/010420220326.html,2022
Essendon,1,75,97,636.0,282.0,401.0,1037.0,35.0,37.0,100.0,103.0,116.0,164.0,97.0,177.0,64.0,59.0,7.0,409.0,617.0,35.0,41.0,141.0,13.0,28.0,1800.0,https://afltables.com/afl/stats/games/2022/051920220326.html,2022
Brisbane Lions,0,97,75,657.0,297.0,388.0,1045.0,40.0,29.0,86.0,110.0,127.0,160.0,104.0,183.0,59.0,64.0,11.0,404.0,616.0,37.0,37.0,144.0,11.0,29.0,1801.0,https://afltables.com/afl/stats/games/2022/051920220326.html,2022
Port Adelaide,1,56,120,643.0,244.0,531.0,1174.0,33.0,34.0,111.0,194.0,96.0,162.0,138.0,173.0,47.0,47.0,9.0,433.0,717.0,28.0,30.0,153.0,22.0,22.0,1799.0,https://afltables.com/afl/stats/games/2022/101320220326.html,2022
Hawthorn,0,120,56,623.0,242.0,477.0,1100.0,45.0,26.0,135.0,175.0,120.0,150.0,114.0,160.0,49.0,46.0,9.0,425.0,648.0,32.0,33.0,153.0,20.0,32.0,1801.0,https://afltables.com/afl/stats/games/2022/101320220326.html,2022
Gold Coast,1,69,82,651.0,238.0,371.0,1022.0,32.0,28.0,133.0,166.0,131.0,175.0,127.0,192.0,54.0,57.0,8.0,467.0,557.0,23.0,26.0,216.0,8.0,20.0,1800.0,https://afltables.com/afl/stats/games/2022/112020220326.html,2022
Melbourne,0,82,69,705.0,257.0,439.0,1144.0,34.0,29.0,119.0,179.0,139.0,170.0,134.0,186.0,57.0,54.0,10.0,490.0,643.0,19.0,22.0,192.0,4.0,19.0,1803.0,https://afltables.com/afl/stats/games/2022/112020220326.html,2022
North Melbourne,1,74,59,676.0,318.0,399.0,1075.0,28.0,39.0,101.0,172.0,120.0,146.0,100.0,189.0,71.0,67.0,12.0,396.0,674.0,32.0,36.0,142.0,12.0,17.0,1801.0,https://afltables.com/afl/stats/games/2022/121820220327.html,2022
West Coast,0,59,74,644.0,300.0,348.0,992.0,26.0,36.0,70.0,182.0,117.0,148.0,101.0,189.0,67.0,71.0,6.0,369.0,607.0,25.0,30.0,140.0,12.0,13.0,1799.0,https://afltables.com/afl/stats/games/2022/121820220327.html,2022
Richmond,1,109,73,652.0,309.0,430.0,1082.0,42.0,39.0,83.0,118.0,124.0,161.0,84.0,156.0,70.0,62.0,11.0,381.0,693.0,31.0,32.0,154.0,32.0,24.0,1802.0,https://afltables.com/afl/stats/games/2022/142120220327.html,2022
Greater Western Sydney,0,73,109,680.0,345.0,467.0,1147.0,36.0,39.0,70.0,122.0,113.0,163.0,78.0,168.0,62.0,70.0,7.0,363.0,777.0,29.0,34.0,155.0,31.0,21.0,1798.0,https://afltables.com/afl/stats/games/2022/142120220327.html,2022
